Name,Price,Price (Value),City,Full Location,Bedrooms,Area,Bathroom
Good 4 Marla House For sale In Zaheer Villas,"Rs.  14,500,000",14500000, Lahore,"Zaheer Villas, Lahore",3,4 Marla,3
Spacious House Is Available In Zaheer Villas For sale,"Rs.  16,000,000",16000000, Lahore,"Zaheer Villas, Lahore",4,4 Marla,4
"Ideal 563 Square Feet House Available In Muradpur, Muradpur","Rs.  4,500,000",4500000, Sialkot,"Muradpur, Sialkot",2,2 Marla,1
sale A House In Military Accounts Housing Society Prime Location,"Rs.  47,500,000",47500000, Lahore,"Military Accounts Housing Society, Lahore",6,12 Marla,6
Become Owner Of Your House Today Which Is Centrally Located In Eden Boulevard Housing Scheme In Lahore,"Rs.  20,000,000",20000000, Lahore,"Eden Boulevard Housing Scheme, Lahore",5,8 Marla,5
Military Accounts Housing Society House Sized 8 Marla,"Rs.  28,000,000",28000000, Lahore,"Military Accounts Housing Society, Lahore",5,8 Marla,5
3 new house for sell 4 bad attched bath marble floring wood wark,"Rs.  13,200,000",13200000, Lahore,"Cavalry Ground, Lahore",4,3 Marla,4
Dc Colony 1 Kanal House For Sale,"Rs.  63,000,000",63000000, Gujranwala,"DC Colony - Kaghan Block, Gujranwala",5,1 Kanal,6
10 marla brand new House for sale in G block Central Park housing scheme,"Rs.  26,500,000",26500000, Lahore,"Central Park - Block G, Lahore",6,10 Marla,6
BEAUTIFUL PRIVATE HOUSE FOR SALE OWNER NEEDY,"Rs.  18,500,000",18500000, Lahore,"Paragon City, Lahore",3,5 Marla,4
"Rare Option, 5 Marla Low Budget Finest House With Premium Features Is Ready For Sale In F","Rs.  14,500,000",14500000, Lahore,"Low Cost - Block F, Lahore",3,5 Marla,4
3 Years Installment Plus Cash Based 5 Marla Spanish House In Lake City Lahore,"Rs.  23,400,000",23400000, Lahore,"Lake City, Lahore",4,5 Marla,4
Affordable House For sale In Eden Boulevard Housing Scheme,"Rs.  19,000,000",19000000, Lahore,"Eden Boulevard Housing Scheme, Lahore",3,4 Marla,3
"1 Kanal Brand New Ultra Modern Elevation House in X Block Phase 7 Dha Lahore,","Rs.  80,000,000",80000000, Lahore,"DHA Phase 7 - Block X, Lahore",1,1 Kanal,1
2 Marla New Double Storey House At Eimanabad Road Near Singhar Marriage Hall For Sale,"Rs.  5,800,000",5800000, Sialkot,"Eimanabad Road, Sialkot",4,2 Marla,3
House Sized 10 Marla In Askari 11 - Sector A,"Rs.  42,500,000",42500000, Lahore,"Askari 11 - Sector A, Lahore",3,11 Marla,4
Prime Location,"Rs.  55,000,000",55000000, Lahore,"Model Town, Lahore",6,1 Kanal,6
Prime Location,"Rs.  45,000,000",45000000, Lahore,"Faisal Town - Block C, Lahore",4,10 Marla,4
Prime Location,"Rs.  37,500,000",37500000, Lahore,"Faisal Town - Block A, Lahore",5,10 Marla,5
Prime Location,"Rs.  45,000,000",45000000, Lahore,"Faisal Town - Block C1, Lahore",4,10 Marla,4
4500 Square Feet House Available For Sale In Township,"Rs.  80,000,000",80000000, Lahore,"Township, Lahore",5,1 Kanal,5
A Palatial Residence For sale In Green Cap Housing Society Green Cap H,"Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
Buy your ideal 3.5 Marla House in a prime location of Green Cap Housin,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
7 Marla House For sale In Green Cap Housing Society,"Rs.  20,000,000",20000000, Lahore,"Green Cap Housing Society, Lahore",6,7 Marla,6
5 Marla House Is Available For sale In Green Cap Housing Society,"Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
2800 Square Feet House For sale In Media Town,"Rs.  50,000,000",50000000, Rawalpindi,"Media Town, Rawalpindi",6,"2,800 SQFT",6
5 Marla Brand New House Available For Sale In Lake City Lahore,"Rs.  23,500,000",23500000, Lahore,"Lake City - Sector M7 - Block B, Lahore",4,5 Marla,5
2.50 Marla house Double story brand new Registry intaqal,"Rs.  6,000,000",6000000, Lahore,"Kahna, Lahore",3,2 Marla,4
5 Marla Brand New House For Sale At Park View City Lahore,"Rs.  15,800,000",15800000, Lahore,"Park View Villas, Lahore",5,5 Marla,5
10 Marla House For sale In Rawalpindi,"Rs.  54,000,000",54000000, Rawalpindi,"Bahria Town Phase 6, Rawalpindi",5,10 Marla,5
A Perfect House Awaits You In Green Cap Housing Society Green Cap Hous,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
7 Marla House In Central Green Cap Housing Society For sale,"Rs.  20,000,000",20000000, Lahore,"Green Cap Housing Society, Lahore",6,7 Marla,6
Buy A House Of 5 Marla In Green Cap Housing Society,"Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
3.5 Marla House Available For sale In Green Cap Housing Society,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
1575 Square Feet House For Sale Is Available In Green Cap Housing Soci,"Rs.  20,000,000",20000000, Lahore,"Green Cap Housing Society, Lahore",6,7 Marla,6
5 Marla House In Green Cap Housing Society For sale At Good Location,"Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
Reserve A House Of 3.5 Marla Now In Green Cap Housing Society,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
House In Green Cap Housing Society For sale,"Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
Get In Touch Now To Buy A 3.5 Marla House In Green Cap Housing Society,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
"5 Marla House In Only Rs. 15,000,000","Rs.  15,000,000",15000000, Lahore,"Green Cap Housing Society, Lahore",4,5 Marla,4
This Is Your Chance To Buy House In Green Cap Housing Society Green Ca,"Rs.  20,000,000",20000000, Lahore,"Green Cap Housing Society, Lahore",6,7 Marla,6
House For sale In Beautiful Green Cap Housing Society,"Rs.  8,000,000",8000000, Lahore,"Green Cap Housing Society, Lahore",3,3 Marla,4
House Available For Sale,"Rs.  18,000,000",18000000, Sheikhüpura,"New Civil Lines, Sheikhüpura",1,6 Marla,1
"Well Maintained 10 Marla Luxury House For Sale In Sher Shah Block, Garden Town.","Rs.  47,500,000",47500000, Lahore,"Garden Town - Sher Shah Block, Lahore",4,10 Marla,5
05 Marla Low Budget Brand New House Available For Sale In F Block Phase 2 Bahria Orchard Raiwind Lahore.,"Rs.  15,000,000",15000000, Lahore,"Low Cost - Block F, Lahore",3,5 Marla,5
2800 Square Feet House In Media Town Is Available,"Rs.  45,000,000",45000000, Rawalpindi,"Media Town, Rawalpindi",6,"2,800 SQFT",6
10 Marla double unit house Is Available for Sale at Prime location of,"Rs.  42,000,000",42000000, Rawalpindi,"Bahria Town Phase 8, Rawalpindi",5,10 Marla,6
"5 MARLA TRIPLE STORE HOUSE FOR SALE IN SHADAB GARDEN FROZPUR ROAD,NEAR TO GENERAL HOSPITAL.","Rs.  18,500,000",18500000, Lahore,"Shadab Garden, Lahore",6,5 Marla,6
5 Marla brand new House Available For Sale Booking Amount 10 Percent With 3 Year Installment Plan In Jazac City,"Rs.  14,000,000",14000000, Lahore,"Thokar Niaz Baig, Lahore",4,5 Marla,5
This Is Your Chance To Buy House In Nabipura,"Rs.  6,000,000",6000000, Sheikhüpura,"Nabipura, Sheikhüpura",4,4 Marla,3
Excellent House Available For Sale,"Rs.  22,500,000",22500000, Sheikhüpura,"Sheraz Garden, Sheikhüpura",5,10 Marla,1
House Available For Sale,"Rs.  10,000,000",10000000, Sheikhüpura,"Sheraz Garden, Sheikhüpura",4,5 Marla,6
House Available For Sale In New Civil Lines.,"Rs.  24,000,000",24000000, Sheikhüpura,"New Civil Lines, Sheikhüpura",5,10 Marla,6
4500 Square Feet House For sale In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
4500 Square Feet House Available For sale In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Looking For A House In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Buy your ideal 4500 Square Feet House in a prime location of Wapda Tow,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
To sale You Can Find Spacious House In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
House Of 4500 Square Feet Available In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Best Options For House Is Available For sale In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
22 Marla Brand New Modern Design Corner Bungalow Available For Sale In Phase 6 DHA Lahore,"Rs.  87,500,000",87500000, Lahore,"DHA Phase 6, Lahore",5,22 Marla,6
One Kanal Most Luxury Lavish Modern Bungalow For Sale In Dha Lahore,"Rs.  71,000,000",71000000, Lahore,"DHA Phase 7, Lahore",5,20 Marla,6
"2 Marla New TRIPPLE STOREY House near Model Town, Capital Road at DEEN PURA Main Link 4 Sale","Rs.  6,800,000",6800000, Sialkot,"Dinpura, Sialkot",3,2 Marla,3
5 Marla House In Snober City Best Option,"Rs.  15,000,000",15000000, Rawalpindi,"Snober City, Rawalpindi",4,5 Marla,6
3 Marla House For Sale in Al Kabir Town,"Rs.  13,000,000",13000000, Lahore,"Al-Kabir Phase 2 - Block C, Lahore",3,3 Marla,4
House On Installment at  Thokar Lahore,"Rs.  3,700,000",3700000, Lahore,"Canal Colony, Lahore",1,2 Marla,1
Get Your Hands On House In Wapda Town Best Area,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Reserve A Centrally Located House In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
4500 Square Feet House In Wapda Town For sale,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
House Of 4500 Square Feet For sale In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Reserve A House Of 4500 Square Feet Now In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Buying A House In Wapda Town Wapda Town?,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
A Palatial Residence For sale In Wapda Town Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
House Sized 4500 Square Feet Is Available For sale In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
4500 Square Feet House In Stunning Wapda Town Is Available For sale,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Perfect 4500 Square Feet House In Wapda Town For sale,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Get In Touch Now To Buy A 4500 Square Feet House In Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Want To Buy A House In Wapda Town?,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
5 MARLA ELEGANT HOUSE AVAILABLE FOR SALE AT PRIME LOCATION OF CHAKLALA,"Rs.  23,000,000",23000000, Rawalpindi,"Chaklala Scheme 3, Rawalpindi",3,5 Marla,3
Corner,"Rs.  20,000,000",20000000, Lahore,"Samanabad, Lahore",3,6 Marla,3
Ideally located brand new house in Khyaban-e-Amin,"Rs.  13,000,000",13000000, Lahore,"Khayaban-e-Amin - Block N, Lahore",3,5 Marla,2
Perfect 1 Kanal House In Revenue Society For sale,"Rs.  50,000,000",50000000, Lahore,"Revenue Society, Lahore",5,1 Kanal,5
5 Marla house Single story brand new Registry intaqal,"Rs.  8,600,000",8600000, Lahore,"Kahna, Lahore",2,5 Marla,3
5Marla Brand New House one and half story for sale,"Rs.  15,000,000",15000000, Rawalpindi,"Gulraiz Housing Society Phase 4, Rawalpindi",3,5 Marla,4
4500 Square Feet House Situated In Wapda Town For sale,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
House For sale Is Readily Available In Prime Location Of Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Book A House Of 4500 Square Feet In Wapda Town Wapda Town,"Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
"Ideal 4500 Square Feet House has landed on market in Wapda Town, Wapda","Rs.  50,000,000",50000000, Multan,"Wapda Town, Multan",1,"4,500 SQFT",1
Dha Phase 6 1 Kanal Modern Design House Available For Sale,"Rs.  98,500,000",98500000, Lahore,"DHA Defence, Lahore",5,1 Marla,6
4 MARLA DOUBLE STORY HOUSE FOR SALE IN ALIF TOWN,"Rs.  9,500,000",9500000, Sheikhüpura,"Alif Town, Sheikhüpura",4,4 Marla,4
"5 Marla Brand New House For Sale In Etihad Town Phase - 1, On Raiwind Road, Nearby Bahria Town, Lahore.","Rs.  28,000,000",28000000, Lahore,"Etihad Town Phase 1, Lahore",3,5 Marla,3
10 Marla House available for sale in EME Society if you hurry,"Rs.  45,000,000",45000000, Lahore,"EME Society, Lahore",4,10 Marla,4
House Of 5 Marla Is Available For sale,"Rs.  23,000,000",23000000, Lahore,"EME Society, Lahore",3,5 Marla,3
Prime Location,"Rs.  21,200,000",21200000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Prime Location,"Rs.  20,800,000",20800000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Prime Location,"Rs.  20,400,000",20400000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Prime Location,"Rs.  20,600,000",20600000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
10 Marla Brand New House Available For Sale In Gulshan Abad Sector 1,"Rs.  31,000,000",31000000, Rawalpindi,"Gulshan Abad Sector 1, Rawalpindi",6,10 SQM,6
05 Marla Brand New House For Sale In Eastern Block Bahia Orcahrd Raiwind Road Lahore.,"Rs.  19,000,000",19000000, Lahore,"Bahria Orchard Phase 1 - Eastern, Lahore",3,5 Marla,5
5 Marla Grey Structure For Sale In Park View City,"Rs.  12,500,000",12500000, Lahore,"Park View Villas, Lahore",5,5 Marla,4
10 Marla Double Story House For Sale,"Rs.  33,500,000",33500000, Lahore,"Sabzazar Scheme - Block G, Lahore",4,10 Marla,5
Shadman city phase 1 New brand 5 marly proper double story house sale,"Rs.  11,500,000",11500000, Bahawalpur,"Shadman City Phase 1, Bahawalpur",5,5 Marla,5
Prime Location,"Rs.  20,200,000",20200000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
House For sale Is Readily Available In Prime Location Of Vital Homes H,"Rs.  11,500,000",11500000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
5 Marla House In Pak Arab Housing Society For sale At Good Location,"Rs.  20,000,000",20000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
To sale You Can Find Spacious House In Vital Homes Housing Scheme,"Rs.  11,400,000",11400000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
House For sale Situated In Vital Homes Housing Scheme,"Rs.  11,200,000",11200000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Get Your Dream House In Vital Homes Housing Scheme Vital Homes Housing,"Rs.  11,000,000",11000000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Want To Buy A House In Vital Homes Housing Scheme?,"Rs.  10,600,000",10600000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House Is Available For sale In Vital Homes Housing Scheme,"Rs.  10,800,000",10800000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House For sale Is Available In Vital Homes Housing Scheme,"Rs.  10,400,000",10400000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
House Of 3 Marla In Vital Homes Housing Scheme Is Available,"Rs.  10,200,000",10200000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Prime Location,"Rs.  300,000,000",300000000, Lahore,"Gulberg 3, Lahore",1,63 Marla,1
Affordable House For sale In Main Boulevard Gulberg,"Rs.  1,000,000,000",1000000000, Lahore,"Main Boulevard Gulberg, Lahore",1,8 Kanal,1
Your Ideal 16 Marla House Has Just Become Available In Gulberg,"Rs.  75,000,000",75000000, Lahore,"Gulberg, Lahore",1,16 Marla,1
House For sale Situated In Gulberg 2,"Rs.  85,000,000",85000000, Lahore,"Gulberg 2, Lahore",1,1 Kanal,1
3 Marla Double Story House,"Rs.  7,500,000",7500000, Lahore,"Kahna Nau Market, Lahore",3,3 Marla,3
3 Marla Very Beautiful House on Main Buleward sector B home sweet home for sale,"Rs.  13,500,000",13500000, Lahore,"Al-Kabir Town - Phase 2, Lahore",3,3 Marla,3
3 Marla House For Sale In Shershah Colony,"Rs.  12,000,000",12000000, Lahore,"Sher Shah Colony, Lahore",3,675 SQFT,3
2 Kanal Furnished Luxury House For Sale on Main Boulevard Near to Park Gas Available Sector M1,"Rs.  160,000,000",160000000, Lahore,"Lake City - Sector M-1, Lahore",5,2 Kanal,6
Stunning House Is Available For sale In Airport Housing Society - Sector 4,"Rs.  11,500,000",11500000, Rawalpindi,"Airport Housing Society - Sector 4, Rawalpindi",1,5 Marla,1
5 Marla House Is Available For Sale In Lake City Sector M-5 Lahore,"Rs.  23,000,000",23000000, Lahore,"Lake City - Sector M-7B, Lahore",4,5 Marla,5
Unoccupied House Of 28 Marla Is Available For sale In Gulberg,"Rs.  160,000,000",160000000, Lahore,"Gulberg 2, Lahore",1,28 Marla,1
Property For sale In Pak Arab Housing Society Pak Arab Housing Society,"Rs.  21,000,000",21000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Ready To Buy A House 63 Marla In Gulberg 3,"Rs.  300,000,000",300000000, Lahore,"Gulberg 3, Lahore",1,63 Marla,1
Main Boulevard Gulberg House For sale Sized 8 Kanal,"Rs.  1,000,000,000",1000000000, Lahore,"Main Boulevard Gulberg, Lahore",1,8 Kanal,1
House Of 16 Marla In Gulberg For sale,"Rs.  75,000,000",75000000, Lahore,"Gulberg, Lahore",1,16 Marla,1
House Of 5 Marla In Pak Arab Housing Society Is Available,"Rs.  20,000,000",20000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
"Reasonably-Priced 1 Kanal House In Gulberg 2, Lahore Is Available As Of Now","Rs.  85,000,000",85000000, Lahore,"Gulberg 2, Lahore",1,1 Kanal,1
Pak Arab Housing Society House Sized 5 Marla For sale,"Rs.  20,500,000",20500000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Gulberg 3 House Sized 63 Marla For sale,"Rs.  300,000,000",300000000, Lahore,"Gulberg 3, Lahore",1,63 Marla,1
House Of 5 Marla For sale In Pak Arab Housing Society,"Rs.  21,000,000",21000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Your Ideal 8 Kanal House Has Just Become Available In Main Boulevard Gulberg,"Rs.  1,000,000,000",1000000000, Lahore,"Main Boulevard Gulberg, Lahore",1,8 Kanal,1
"House Of 16 Marla Is Available For sale In Gulberg, Gulberg","Rs.  75,000,000",75000000, Lahore,"Gulberg, Lahore",1,16 Marla,1
Gorgeous 5 Marla House For sale Available In Pak Arab Housing Society,"Rs.  21,500,000",21500000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
House Available For sale In Gulberg 2,"Rs.  85,000,000",85000000, Lahore,"Gulberg 2, Lahore",1,1 Kanal,1
10 Marla Beautiful Luxury double story house urgent for Sale in sabzazar,"Rs.  31,000,000",31000000, Lahore,"Sabzazar, Lahore",6,10 Marla,6
Perfect 1 Kanal House In Bahria Town Phase 2 For sale,"Rs.  112,000,000",112000000, Rawalpindi,"Bahria Town Phase 2, Rawalpindi",6,1 Kanal,7
"Single Unit, Bahria Homes","Rs.  12,500,000",12500000, Rawalpindi,"Bahria Homes - Sector F, Rawalpindi",1,123 Marla,1
"Ideal Location, 10 Marla House With Basement Is Ready For Sale In Bahria Town","Rs.  35,000,000",35000000, Lahore,"Bahria Town - Overseas A, Lahore",6,10 Marla,7
Beautiful House DHA EME PHASE12,"Rs.  500,000",500000, Lahore,"EME Society, Lahore",4,10 Marla,5
Ideal House For sale In Gulberg 2,"Rs.  160,000,000",160000000, Lahore,"Gulberg 2, Lahore",1,28 Marla,1
63 Marla House In Gulberg 3 For sale,"Rs.  300,000,000",300000000, Lahore,"Gulberg 3, Lahore",1,63 Marla,1
8 Kanal House For sale In The Perfect Location Of Main Boulevard Gulberg,"Rs.  1,000,000,000",1000000000, Lahore,"Main Boulevard Gulberg, Lahore",1,8 Kanal,1
To sale You Can Find Spacious House In Gulberg,"Rs.  75,000,000",75000000, Lahore,"Gulberg, Lahore",1,16 Marla,1
End Your Search For House Here And sale Now,"Rs.  22,000,000",22000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
28 Marla House Ideally Situated In Gulberg 2,"Rs.  160,000,000",160000000, Lahore,"Gulberg 2, Lahore",1,28 Marla,1
